
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.2041  |     0.8389  |   0.8274  |               |              1.2343  |
|          |      3  |      1.1455  |     0.8623  |   0.8329  |               |              1.6105  |
|          |      4  |      1.1270  |     0.8760  |   0.8648  |               |              1.9861  |
|          |      5  |      1.1045  |     0.8887  |   0.8720  |               |              2.3627  |
|          |      6  |      1.0547  |     0.9160  |   0.8770  |               |              2.7400  |
|          |      7  |      1.0264  |     0.9277  |   0.9072  |               |              3.1175  |
|          |      8  |      0.9663  |     0.9639  |   0.9246  |               |              3.4947  |
|          |      9  |      0.9404  |     0.9814  |   0.9320  |               |              3.8422  |
|          |   eval  |      0.9404  |     0.9814  |   0.9320  |       0.9393  |              4.0089  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4404  |     0.7070  |   0.6790  |               |              0.4726  |
|          |      1  |      1.2402  |     0.8203  |   0.7687  |               |              0.8817  |
|          |      2  |      1.1934  |     0.8359  |   0.7815  |               |              1.2929  |
|          |      3  |      1.1465  |     0.8750  |   0.8073  |               |              1.6689  |
|          |      4  |      1.1230  |     0.8711  |   0.8648  |               |              2.0433  |
|          |      5  |      1.0996  |     0.8877  |   0.8649  |               |              2.4193  |
|          |      6  |      1.0439  |     0.9238  |   0.8870  |               |              2.7957  |
|          |      7  |      1.0186  |     0.9365  |   0.9079  |               |              3.1717  |
|          |      8  |      0.9619  |     0.9668  |   0.9250  |               |              3.5477  |
|          |      9  |      0.9312  |     0.9824  |   0.9330  |               |              3.8927  |
|          |   eval  |      0.9312  |     0.9824  |   0.9330  |       0.9417  |              4.0601  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4531  |     0.6943  |   0.6693  |               |              0.4139  |
|          |      1  |      1.2432  |     0.8174  |   0.7261  |               |              0.8241  |
|          |      2  |      1.1836  |     0.8447  |   0.7198  |               |              1.2356  |
|          |      3  |      1.1436  |     0.8730  |   0.7893  |               |              1.6140  |
|          |      4  |      1.1387  |     0.8682  |   0.8621  |               |              1.9916  |
|          |      5  |      1.1152  |     0.8770  |   0.8380  |               |              2.3690  |
|          |      6  |      1.0479  |     0.9209  |   0.8800  |               |              2.7470  |
|          |      7  |      1.0215  |     0.9326  |   0.9016  |               |              3.1247  |
|          |      8  |      0.9609  |     0.9717  |   0.9220  |               |              3.5020  |
|          |      9  |      0.9404  |     0.9785  |   0.9310  |               |              3.8483  |
|          |   eval  |      0.9404  |     0.9785  |   0.9310  |       0.9389  |              4.0152  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4170  |     0.7158  |   0.6850  |               |              0.4126  |
|          |      1  |      1.2451  |     0.8184  |   0.7514  |               |              0.8211  |
|          |      2  |      1.2051  |     0.8320  |   0.7761  |               |              1.2335  |
|          |      3  |      1.1621  |     0.8594  |   0.8489  |               |              1.6101  |
|          |      4  |      1.1250  |     0.8779  |   0.8548  |               |              1.9858  |
|          |      5  |      1.0781  |     0.9062  |   0.8311  |               |              2.3631  |
|          |      6  |      1.0557  |     0.9062  |   0.8892  |               |              2.7402  |
|          |      7  |      1.0137  |     0.9375  |   0.8980  |               |              3.1168  |
|          |      8  |      0.9780  |     0.9531  |   0.9248  |               |              3.4936  |
|          |      9  |      0.9458  |     0.9775  |   0.9345  |               |              3.8397  |
|          |   eval  |      0.9458  |     0.9775  |   0.9345  |       0.9411  |              4.0068  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4678  |     0.6787  |   0.6392  |               |              0.4862  |
|          |      1  |      1.2578  |     0.8076  |   0.7720  |               |              0.8950  |
|          |      2  |      1.1816  |     0.8516  |   0.7952  |               |              1.3066  |
|          |      3  |      1.1719  |     0.8496  |   0.7964  |               |              1.6834  |
|          |      4  |      1.1289  |     0.8721  |   0.8489  |               |              2.0580  |
